,short,long,edit,long_edit,sc,manual_sc
0,Ach pta,Achillea ptarmica,,Achillea ptarmica,5522,
1,Aco cal,Acorus calamus,,Acorus calamus,6549,
2,Aeg pod,Aegopodium podagraria,,Aegopodium podagraria,4153,
3,Agr can,Agrostis canina,,Agrostis canina,7170,
4,Agr cap,Agrostis capillaris,,Agrostis capillaris,7182,
5,Agr gig,Agrostis gigantea,,Agrostis gigantea,7186,
6,Agr sto,Agrostis stolonifera,,Agrostis stolonifera,7189,
7,Ali pla,Alisma plantago-aquatica,,Alisma plantago-aquatica,6409,
8,Alo gen,Alopecurus geniculatus,,Alopecurus geniculatus,7240,
9,Alo pra,Alopecurus pratensis,,Alopecurus pratensis,7235,
10,Ang syl,Angelica sylvestris,,Angelica sylvestris,4231,
11,Ant syl,Anthriscus sylvestris,,Anthriscus sylvestris,4128,
12,Arg ans,Argentina anserina,,Argentina anserina,3130,
13,Arr ela,Arrhenatherum elatius,,Arrhenatherum elatius,7105,
14,Art vul,Artemisia vulgaris,,Artemisia vulgaris,5576,
15,Ath fil,Athyrium filix-femina,,Athyrium filix-femina,1163,
16,Ber ere,Berula erecta,,Berula erecta,4158,
17,Bid cer,Bidens cernua,,Bidens cernua,5464,
18,Bid tri,Bidens tripartita,,Bidens tripartita,5461,
19,But umb,Butomus umbellatus,,Butomus umbellatus,6419,
20,Cal can,Calamagrostis canescens,,Calamagrostis canescens,7208,
21,Cal pal,Caltha palustris,,Caltha palustris,2218,
22,Cal pla,Callitriche platycarpa,,Callitriche platycarpa,4712,
23,Cal sep,Calystegia sepium,,Calystegia sepium,4564,
24,Call sp,Callitriche sp.,Callitriche,Callitriche,4707,Genus
25,Car acu,Carex acutiformis,,Carex acutiformis,7611,
26,Car acu,Carex acuta,,Carex acuta,7772,
27,Car ama,Cardamine amara,,Cardamine amara,2572,
28,Car hir,Carex hirta,,Carex hirta,7604,
29,Car nig,Carex nigra,,Carex nigra,7762,
30,Car pan,Carex paniculata,,Carex paniculata,7514,
31,Car pra,Cardamine pratensis,,Cardamine pratensis,2573,
32,Car rem,Carex remota,,Carex remota,7544,
33,Car rip,Carex riparia,,Carex riparia,7612,
34,Car ros,Carex rostrata,,Carex rostrata,7618,
35,Car syl,Carex sylvatica,,Carex sylvatica,7635,
36,Car ves,Carex vesicaria,,Carex vesicaria,7625,
37,Cat aqu,Catabrosa aquatica,,Catabrosa aquatica,6941,
38,Cer dem,Ceratophyllum demersum,,Ceratophyllum demersum,2394,
39,Cer fon,Cerastium fontanum,,Cerastium fontanum,2018,
40,Chr alt,Chrysosplenium alternifolium,,Chrysosplenium alternifolium,2866,
41,Chr opp,Chrysosplenium oppositifolium,,Chrysosplenium oppositifolium,2868,
42,Cic vir,Cicuta virosa,,Cicuta virosa,4207,
43,Cir arv,Cirsium arvense,,Cirsium arvense,5707,
44,Cir lut,Circaea lutetiana,,Circaea lutetiana,3985,
45,Cir ole,Cirsium oleraceum,,Cirsium oleraceum,5698,
46,Cir pal,Cirsium palustre,,Cirsium palustre,5706,
47,Com pal,Comarum palustre,,Comarum palustre,3129,
48,Con arv,Convolvulus arvensis,,Convolvulus arvensis,4573,
49,Dac glo,Dactylis glomerata,,Dactylis glomerata,6927,
50,Des ces,Deschampsia cespitosa,,Deschampsia cespitosa,7130,
51,Dry fil,Dryopteris filix-mas,,Dryopteris filix-mas,1187,
52,Elo can,Elodea canadensis,,Elodea canadensis,6427,
53,Ely rep,Elytrigia repens,,Elytrigia repens,7032,Elytrigia repens subsp. repens
54,Epi ade,Epilobium adenocaulon,,Epilobium adenocaulon,4058,
55,Epi ang,Epilobium angustifolium,Chamaenerion angustifolium,Chamaenerion angustifolium,4001,Species
56,Epi hir,Epilobium hirsutum,,Epilobium hirsutum,4003,
57,Epi mon,Epilobium montanum,,Epilobium montanum,4012,
58,Epi obs,Epilobium obscurum,,Epilobium obscurum,4029,
59,Epi pal,Epilobium palustre,,Epilobium palustre,4035,
60,Epi par,Epilobium parviflorum,,Epilobium parviflorum,4009,
61,Epi ros,Epilobium roseum,,Epilobium roseum,4033,
62,Epi tet,Epilobium tetragonum,,Epilobium tetragonum,4068,
63,Eq pal,Equisetum palustre,,Equisetum palustre,1097,
64,Equ arv,Equisetum arvense,,Equisetum arvense,1101,
65,Equ flu,Equisetum fluviatile,,Equisetum fluviatile,1096,
66,Eup can,Eupatorium cannabinum,,Eupatorium cannabinum,5362,
67,Fes rub,Festuca rubra,,Festuca rubra,6816,
68,Fil ulm,Filipendula ulmaria,,Filipendula ulmaria,2934,
69,Gal apa,Galium aparine,,Galium aparine,4522,
70,Gal bif,Galeopsis bifida,,Galeopsis bifida,4747,
71,Gal odo,Galium odoratum,,Galium odoratum,4488,
72,Gal pal,Galium palustre,,Galium palustre,4491,
73,Gal spe,Galeopsis speciosa,,Galeopsis speciosa,4745,
74,Gal tet,Galeopsis tetrahit,,Galeopsis tetrahit,4746,
75,Gal uli,Galium uliginosum,,Galium uliginosum,4490,
76,Ger rob,Geranium robertianum,,Geranium robertianum,3665,
77,Geu riv,Geum rivale,,Geum rivale,3114,
78,Geu urb,Geum urbanum,,Geum urbanum,3116,
79,Gle hed,Glechoma hederacea,,Glechoma hederacea,4789,
80,Gly dec,Glyceria declinata,,Glyceria declinata,6967,
81,Gly flu,Glyceria fluitans,,Glyceria fluitans,6969,
82,Gly max,Glyceria maxima,,Glyceria maxima,6964,
83,Gly not,Glyceria notata,,Glyceria notata,6971,
84,Hip vul,Hippuris vulgaris,,Hippuris vulgaris,4083,
85,Hol lan,Holcus lanatus,,Holcus lanatus,7164,
86,Hol mol,Holcus mollis,,Holcus mollis,7166,
87,Hyd mor,Hydrocharis morsus-ranae,,Hydrocharis morsus-ranae,6423,
88,Hyd vul,Hydrocotyle vulgaris,,Hydrocotyle vulgaris,4106,
89,Imp nol,Impatiens noli-tangere,,Impatiens noli-tangere,3337,
90,Iri pse,Iris pseudacorus,,Iris pseudacorus,6702,
91,Jun art,Juncus articulatus,,Juncus articulatus,6763,
92,Jun buf,Juncus bufonius,,Juncus bufonius,6740,
93,Jun bul,Juncus bulbosus,,Juncus bulbosus,6747,
94,Jun eff,Juncus effusus,,Juncus effusus,6727,
95,Lam gal,Lamiastrum galeobdolon,,Lamiastrum galeobdolon,4873,
96,Lat pra,Lathyrus pratensis,,Lathyrus pratensis,3449,
97,Lem gib,Lemna gibba,,Lemna gibba,7408,
98,Lem min,Lemna minor,,Lemna minor,7409,
99,Lem tri,Lemna trisulca,,Lemna trisulca,7407,
100,Leo aut,Leontodon autumnalis,,Leontodon autumnalis,5751,Leontodon autumnalis subsp. autumnalis
101,Lol per,Lolium perenne,,Lolium perenne,6839,
102,Lot ped,Lotus pedunculatus,,Lotus pedunculatus,3570,Lotus pedunculatus var. pedunculatus
103,Lyc eur,Lycopus europaeus,,Lycopus europaeus,4831,
104,Lyc flo,Lychnis flos-cuculi,,Lychnis flos-cuculi,2092,
105,Lys num,Lysimachia nummularia,,Lysimachia nummularia,4378,
106,Lys thy,Lysimachia thyrsiflora,,Lysimachia thyrsiflora,4381,
107,Lys vul,Lysimachia vulgaris,,Lysimachia vulgaris,4377,
108,Men aqu,Mentha aquatica,,Mentha aquatica,4839,
109,Mim gut,Mimulus guttatus,Erythranthe guttata,Erythranthe guttata,4957,
110,Mon fon,Montia fontana,,Montia fontana,1941,
111,Myo lax,Myosotis laxa ssp. caespitosa,,Myosotis laxa ssp. caespitosa,4672,Myosotis laxa subsp. caespitosa
112,Myo sco,Myosotis scorpioides,,Myosotis scorpioides,4676,
113,Myr alt,Myriophyllum alterniflorum,,Myriophyllum alterniflorum,4080,
114,Myr gal,Myrica gale,,Myrica gale,1521,
115,Myr spi,Myriophyllum spicatum,,Myriophyllum spicatum,4078,
116,Myr ver,Myriophyllum verticillatum,,Myriophyllum verticillatum,4077,
117,Nas mic,Nasturtium microphyllum,,Nasturtium microphyllum,2556,
118,Nas off,Nasturtium officinale,,Nasturtium officinale,2555,
119,Nup lut,Nuphar lutea,,Nuphar lutea,2386,
120,Oen flu,Oenanthe fluviatilis,,Oenanthe fluviatilis,4165,
121,Ono spi,Ononis spinosa ssp. maritime,,Ononis spinosa ssp. maritime,3478,Ononis spinosa subsp. maritima var. mitis
122,Per amp,Persicaria amphibia,,Persicaria amphibia,1652,
123,Per hyd,Persicaria hydropiper,,Persicaria hydropiper,1644,
124,Per mac,Persicaria maculosa,,Persicaria maculosa,1647,Persicaria maculosa subsp. maculosa
125,Pet hyb,Petasites hybridus,,Petasites hybridus,5607,
126,Pha aru,Phalaris arundinacea,,Phalaris arundinacea,7257,
127,Phl pra,Phleum pratense,,Phleum pratense,7224,
128,Phr aus,Phragmites australis,,Phragmites australis,7286,
129,Poa pra,Poa pratensis,,Poa pratensis,6868,
130,Poa tri,Poa trivialis,,Poa trivialis,6865,
131,Pot alp,Potamogeton alpinus,,Potamogeton alpinus,6458,
132,Pot ber,Potamogeton berchtoldii,,Potamogeton berchtoldii,6475,
133,Pot cri,Potamogeton crispus,,Potamogeton crispus,6487,
134,Pot fri,Potamogeton friesii,,Potamogeton friesii,6468,
135,Pot gra,Potamogeton gramineus,,Potamogeton gramineus,6449,
136,Pot luc,Potamogeton lucens,,Potamogeton lucens,6445,
137,Pot nat,Potamogeton natans,,Potamogeton natans,6438,
138,Pot pec,Potamogeton pectinatus,,Potamogeton pectinatus,6495,Stuckenia pectinata
139,Pot per,Potamogeton perfoliatus,,Potamogeton perfoliatus,6466,
140,Pot pra,Potamogeton praelongus,,Potamogeton praelongus,6465,
141,Pot rep,Potentilla reptans,,Potentilla reptans,3165,
142,Ran acr,Ranunculus acris,,Ranunculus acris,2283,
143,Ran aqu,Ranunculus aquatilis,,Ranunculus aquatilis,2330,Ranunculus aquatilis var. aquatilis
144,Ran bau,Ranunculus baudotii,,Ranunculus baudotii,2326,Ranunculus peltatus subsp. baudotii
145,Ran cir,Ranunculus circinatus,,Ranunculus circinatus,2333,
146,Ran pel,Ranunculus peltatus,,Ranunculus peltatus,2327,Ranunculus peltatus subsp. peltatus
147,Ran rep,Ranunculus repens,,Ranunculus repens,2281,
148,Ran sce,Ranunculus sceleratus,,Ranunculus sceleratus,2303,
149,Ror amp,Rorippa amphibia,,Rorippa amphibia,2562,
150,Ror pal,Rorippa palustris,,Rorippa palustris,2559,
151,Rub ida,Rubus idaeus,,Rubus idaeus,2960,
152,Rum ace,Rumex acetosa,,Rumex acetosa,1686,
153,Rum aqu,Rumex aquaticus,,Rumex aquaticus,1698,
154,Rum con,Rumex conglomeratus,,Rumex conglomeratus,1724,
155,Rum cri,Rumex crispus,,Rumex crispus,1715,
156,Rum hyd,Rumex hydrolapathum,,Rumex hydrolapathum,1712,
157,Rum obt,Rumex obtusifolius,,Rumex obtusifolius,1733,
158,Rum san,Rumex sanguineus,,Rumex sanguineus,1730,
159,Sag sag,Sagittaria sagittifolia,,Sagittaria sagittifolia,6396,
160,Sal cin,Salix cinerea,,Salix cinerea,1404,
161,Sch lac,Schoenoplectus lacustris,,Schoenoplectus lacustris,7448,
162,Sci syl,Scirpus sylvaticus,,Scirpus sylvaticus,7444,
163,Scu gal,Scutellaria galericulata,,Scutellaria galericulata,4733,
164,Sen aqu,Senecio aquaticus,,Senecio aquaticus,5634,Senecio aquaticus subsp. aquaticus
165,Siu lat,Sium latifolium,,Sium latifolium,4155,
166,Sol dul,Solanum dulcamara,,Solanum dulcamara,4917,
167,Spa eme,Sparganium emersum,,Sparganium emersum,7419,
168,Spa ere,Sparganium erectum,,Sparganium erectum,7413,Sparganium erectum s.l.
169,Spi pol,Spirodela polyrhiza,,Spirodela polyrhiza,7411,
170,Sta pal,Stachys palustris,,Stachys palustris,4774,
171,Sta syl,Stachys sylvatica,,Stachys sylvatica,4773,
172,Ste als,Stellaria alsine,,Stellaria alsine,1987,
173,Ste gra,Stellaria graminea,,Stellaria graminea,1991,
174,Ste hol,Stellaria holostea,,Stellaria holostea,1986,
175,Ste med,Stellaria media,,Stellaria media,1983,
176,Ste nem,Stellaria nemorum,,Stellaria nemorum,1980,
177,Ste pal,Stellaria palustris,,Stellaria palustris,1988,
178,Sym upl,Symphytum x uplandicum,,Symphytum x uplandicum,4627,
