long_edit,sc,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
Achillea ptarmica,5522,3120333,Achillea ptarmica L.,Achillea ptarmica,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Achillea,Achillea ptarmica,6,7707728,220,414,3065,3119995,3120333,FALSE,Magnoliopsida,NA,Achillea ptarmica,1
Acorus calamus,6549,2873769,Acorus calamus L.,Acorus calamus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Acorales,Acoraceae,Acorus,Acorus calamus,6,7707728,196,7227341,3719,2730063,2873769,FALSE,Liliopsida,NA,Acorus calamus,2
Aegopodium podagraria,4153,3034620,Aegopodium podagraria L.,Aegopodium podagraria,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Aegopodium,Aegopodium podagraria,6,7707728,220,1351,6720,3034619,3034620,FALSE,Magnoliopsida,NA,Aegopodium podagraria,3
Agrostis canina,7170,2706465,Agrostis canina L.,Agrostis canina,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Agrostis,Agrostis canina,6,7707728,196,1369,3073,2706434,2706465,FALSE,Liliopsida,NA,Agrostis canina,4
Agrostis capillaris,7182,2706490,Agrostis capillaris L.,Agrostis capillaris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Agrostis,Agrostis capillaris,6,7707728,196,1369,3073,2706434,2706490,FALSE,Liliopsida,NA,Agrostis capillaris,5
Agrostis gigantea,7186,2706541,Agrostis gigantea Roth,Agrostis gigantea,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Agrostis,Agrostis gigantea,6,7707728,196,1369,3073,2706434,2706541,FALSE,Liliopsida,NA,Agrostis gigantea,6
Agrostis stolonifera,7189,2706435,Agrostis stolonifera L.,Agrostis stolonifera,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Agrostis,Agrostis stolonifera,6,7707728,196,1369,3073,2706434,2706435,FALSE,Liliopsida,NA,Agrostis stolonifera,7
Alisma plantago-aquatica,6409,2865100,Alisma plantago-aquatica L.,Alisma plantago-aquatica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Alismataceae,Alisma,Alisma plantago-aquatica,6,7707728,196,551,3720,2865099,2865100,FALSE,Liliopsida,NA,Alisma plantago-aquatica,8
Alopecurus geniculatus,7240,5290090,Alopecurus geniculatus L.,Alopecurus geniculatus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Alopecurus,Alopecurus geniculatus,6,7707728,196,1369,3073,2705236,5290090,FALSE,Liliopsida,NA,Alopecurus geniculatus,9
Alopecurus pratensis,7235,5290081,Alopecurus pratensis L.,Alopecurus pratensis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Alopecurus,Alopecurus pratensis,6,7707728,196,1369,3073,2705236,5290081,FALSE,Liliopsida,NA,Alopecurus pratensis,10
Angelica sylvestris,4231,5371818,Angelica sylvestris L.,Angelica sylvestris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Angelica,Angelica sylvestris,6,7707728,220,1351,6720,3034560,5371818,FALSE,Magnoliopsida,NA,Angelica sylvestris,11
Anthriscus sylvestris,4128,5371742,Anthriscus sylvestris (L.) Hoffm.,Anthriscus sylvestris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Anthriscus,Anthriscus sylvestris,6,7707728,220,1351,6720,7776779,5371742,FALSE,Magnoliopsida,NA,Anthriscus sylvestris,12
Argentina anserina,3130,5367246,Argentina anserina (L.) Rydb.,Argentina anserina,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Argentina,Argentina anserina,6,7707728,220,691,5015,3026341,5367246,FALSE,Magnoliopsida,NA,Argentina anserina,13
